routingId,productId,productName,intent,actionType,targetScreenId,targetScreenName,screenType,ctaLabel,precheck,description,menuPath,source
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067122,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067122,신청전유의사항동의,screen,신청 진행,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,신청 전 유의사항 동의,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067131,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067131,사업자정보확인,screen,사업자정보 확인 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,사업자정보 확인,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067133,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067133,한도조회결과,screen,한도조회 결과 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,한도조회 결과,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067134,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067134,공동인증서사업장정보조회,screen,공동인증서 기반 사업장정보 조회 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,공동인증서 기반 사업장정보 조회,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067151,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067151,약관동의,screen,약관 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,약관 동의,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067161,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067161,고객정보확인,screen,고객정보 확인 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,고객정보 확인,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067162,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067162,신청정보입력,screen,신청 진행,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,신청정보 입력,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_002008_P01,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,showPopup,N_PR_002008_P01,공통_금리물안내,popup,확인하기,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,금리물 안내,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067169,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067169,대출신청완료,result,진행상태 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,대출신청 완료,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_DDANGYO_SOHO_N_PR_067191,LOAN_DDANGYO_SOHO,땡겨요 사업자대출,business_loan_dangyo_apply,navigate,N_PR_067191,대출약정완료,result,진행상태 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,대출약정 완료,상품 > 사업자대출 > 땡겨요 사업자대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066121_D01,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066121_D01,개인사업자제한안내,dialog,상품 진입 제한 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,상품 진입 제한,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066122,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066122,신용보증재단선택,screen,신용보증재단 및 대출관리점 선택 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,신용보증재단 및 대출관리점 선택,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066122_B01,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,showPopup,N_PR_066122_B01,지역신용보증재단선택,bottomSheet,확인하기,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,지역신용보증재단 선택,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066123,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066123,신청전유의사항,screen,신청 진행,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,신청 전 유의사항 동의,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066131,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066131,사업자정보확인,screen,사업자정보 확인 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,사업자정보 확인,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066134,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066134,공동인증서사업장정보조회,screen,공동인증서/매출정보 제출 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,공동인증서/매출정보 제출,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066139,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066139,보증한도조회결과,screen,한도조회 결과 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,보증한도조회 결과,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066151,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066151,약관동의,screen,약관 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,약관 동의,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066161,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066161,사업장정보입력,screen,사업장정보 입력 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,사업장정보 입력,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066161_B01,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,showPopup,N_PR_066161_B01,건물층선택,bottomSheet,확인하기,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,건물층 선택,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066162,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066162,본인추가정보입력,screen,본인 추가정보 입력 이동,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,본인 추가정보 입력,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066163,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066163,신청정보입력,screen,신청 진행,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,신청정보 입력,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066163_B01,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,showPopup,N_PR_066163_B01,자금용도선택,bottomSheet,확인하기,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,자금용도 선택,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066169,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066169,대출신청완료,result,진행상태 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,보증 및 대출신청 완료,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_066291,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,navigate,N_PR_066291,보증약정및대출약정완료,result,진행상태 확인,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,보증 약정 및 대출 약정 완료,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
ROUTE_LOAN_REGIONAL_GUARANTEE_N_PR_002008_P01,LOAN_REGIONAL_GUARANTEE,지역신용보증재단 비대면보증부대출,regional_guarantee_business_loan_apply,showPopup,N_PR_002008_P01,공통_금리물안내,popup,확인하기,상품별/고객별 사전조건은 eligibility_rules.csv 및 product_policy.csv 참조,금리물 안내,상품 > 보증서대출 > 지역신용보증재단비대면보증부대출,generated_from_product_master_and_screen_mapping
